trial,roll,is_even,is_at_least_5
1,6,True,True
2,6,True,True
3,5,False,True
4,6,True,True
5,6,True,True
6,3,False,False
7,1,False,False
8,3,False,False
9,6,True,True
10,3,False,False
11,6,True,True
12,4,True,False
13,4,True,False
14,4,True,False
15,3,False,False
16,5,False,True
17,3,False,False
18,4,True,False
19,3,False,False
20,1,False,False
21,1,False,False
22,4,True,False
23,5,False,True
24,1,False,False
25,6,True,True
26,4,True,False
27,3,False,False
28,5,False,True
29,3,False,False
30,3,False,False
31,4,True,False
32,5,False,True
33,3,False,False
34,1,False,False
35,6,True,True
36,3,False,False
37,1,False,False
38,1,False,False
39,6,True,True
40,6,True,True
41,6,True,True
42,3,False,False
43,2,True,False
44,2,True,False
45,3,False,False
46,4,True,False
47,6,True,True
48,5,False,True
49,4,True,False
50,5,False,True
51,5,False,True
52,5,False,True
53,6,True,True
54,5,False,True
55,4,True,False
56,4,True,False
57,2,True,False
58,2,True,False
59,5,False,True
60,5,False,True
61,5,False,True
62,5,False,True
63,1,False,False
64,5,False,True
65,2,True,False
66,4,True,False
67,6,True,True
68,5,False,True
69,6,True,True
70,1,False,False
71,2,True,False
72,5,False,True
73,2,True,False
74,1,False,False
75,5,False,True
76,5,False,True
77,1,False,False
78,5,False,True
79,2,True,False
80,2,True,False
81,2,True,False
82,4,True,False
83,1,False,False
84,1,False,False
85,1,False,False
86,5,False,True
87,4,True,False
88,6,True,True
89,4,True,False
90,6,True,True
91,5,False,True
92,6,True,True
93,3,False,False
94,2,True,False
95,3,False,False
96,4,True,False
97,2,True,False
98,6,True,True
99,4,True,False
100,3,False,False
101,3,False,False
102,1,False,False
103,1,False,False
104,6,True,True
105,2,True,False
106,1,False,False
107,4,True,False
108,2,True,False
109,5,False,True
110,4,True,False
111,1,False,False
112,4,True,False
113,6,True,True
114,6,True,True
115,1,False,False
116,2,True,False
117,1,False,False
118,6,True,True
119,6,True,True
120,4,True,False
121,5,False,True
122,6,True,True
123,4,True,False
124,3,False,False
125,1,False,False
126,1,False,False
127,6,True,True
128,6,True,True
129,6,True,True
130,2,True,False
131,1,False,False
132,4,True,False
133,1,False,False
134,6,True,True
135,3,False,False
136,6,True,True
137,2,True,False
138,3,False,False
139,4,True,False
140,4,True,False
141,3,False,False
142,5,False,True
143,4,True,False
144,2,True,False
145,3,False,False
146,2,True,False
147,4,True,False
148,2,True,False
149,3,False,False
150,4,True,False
151,4,True,False
152,2,True,False
153,4,True,False
154,2,True,False
155,6,True,True
156,2,True,False
157,4,True,False
158,5,False,True
159,5,False,True
160,5,False,True
161,3,False,False
162,4,True,False
163,3,False,False
164,1,False,False
165,3,False,False
166,4,True,False
167,4,True,False
168,4,True,False
169,3,False,False
170,6,True,True
171,3,False,False
172,6,True,True
173,6,True,True
174,4,True,False
175,6,True,True
176,4,True,False
177,4,True,False
178,5,False,True
179,5,False,True
180,1,False,False
181,3,False,False
182,3,False,False
183,1,False,False
184,3,False,False
185,2,True,False
186,4,True,False
187,6,True,True
188,3,False,False
189,3,False,False
190,3,False,False
191,4,True,False
192,2,True,False
193,5,False,True
194,2,True,False
195,1,False,False
196,3,False,False
197,5,False,True
198,6,True,True
199,2,True,False
200,6,True,True
201,3,False,False
202,5,False,True
203,6,True,True
204,4,True,False
205,1,False,False
206,2,True,False
207,5,False,True
208,5,False,True
209,5,False,True
210,6,True,True
211,1,False,False
212,3,False,False
213,1,False,False
214,4,True,False
215,6,True,True
216,6,True,True
217,6,True,True
218,1,False,False
219,3,False,False
220,4,True,False
221,6,True,True
222,5,False,True
223,2,True,False
224,1,False,False
225,3,False,False
226,1,False,False
227,5,False,True
228,4,True,False
229,3,False,False
230,2,True,False
231,4,True,False
232,5,False,True
233,6,True,True
234,4,True,False
235,2,True,False
236,6,True,True
237,4,True,False
238,5,False,True
239,4,True,False
240,3,False,False
241,1,False,False
242,1,False,False
243,5,False,True
244,1,False,False
245,2,True,False
246,3,False,False
247,6,True,True
248,5,False,True
249,5,False,True
250,5,False,True
251,3,False,False
252,1,False,False
253,2,True,False
254,4,True,False
255,4,True,False
256,1,False,False
257,1,False,False
258,6,True,True
259,3,False,False
260,5,False,True
261,3,False,False
262,5,False,True
263,1,False,False
264,4,True,False
265,1,False,False
266,5,False,True
267,6,True,True
268,2,True,False
269,1,False,False
270,2,True,False
271,6,True,True
272,5,False,True
273,2,True,False
274,6,True,True
275,3,False,False
276,1,False,False
277,3,False,False
278,3,False,False
279,4,True,False
280,4,True,False
281,1,False,False
282,2,True,False
283,6,True,True
284,3,False,False
285,1,False,False
286,3,False,False
287,3,False,False
288,2,True,False
289,4,True,False
290,2,True,False
291,5,False,True
292,4,True,False
293,6,True,True
294,5,False,True
295,6,True,True
296,3,False,False
297,1,False,False
298,6,True,True
299,5,False,True
300,5,False,True
301,4,True,False
302,2,True,False
303,3,False,False
304,3,False,False
305,6,True,True
306,4,True,False
307,2,True,False
308,1,False,False
309,3,False,False
310,4,True,False
311,3,False,False
312,4,True,False
313,6,True,True
314,4,True,False
315,1,False,False
316,2,True,False
317,1,False,False
318,5,False,True
319,2,True,False
320,6,True,True
321,2,True,False
322,3,False,False
323,6,True,True
324,5,False,True
325,3,False,False
326,4,True,False
327,5,False,True
328,6,True,True
329,6,True,True
330,1,False,False
331,2,True,False
332,2,True,False
333,3,False,False
334,4,True,False
335,1,False,False
336,3,False,False
337,2,True,False
338,2,True,False
339,3,False,False
340,3,False,False
341,4,True,False
342,6,True,True
343,2,True,False
344,2,True,False
345,5,False,True
346,2,True,False
347,1,False,False
348,2,True,False
349,6,True,True
350,2,True,False
351,6,True,True
352,4,True,False
353,4,True,False
354,5,False,True
355,4,True,False
356,2,True,False
357,6,True,True
358,5,False,True
359,5,False,True
360,2,True,False
361,3,False,False
362,5,False,True
363,4,True,False
364,6,True,True
365,5,False,True
366,3,False,False
367,6,True,True
368,5,False,True
369,1,False,False
370,6,True,True
371,5,False,True
372,3,False,False
373,6,True,True
374,1,False,False
375,1,False,False
376,2,True,False
377,2,True,False
378,6,True,True
379,1,False,False
380,4,True,False
381,1,False,False
382,6,True,True
383,4,True,False
384,6,True,True
385,3,False,False
386,1,False,False
387,5,False,True
388,5,False,True
389,3,False,False
390,4,True,False
391,4,True,False
392,1,False,False
393,3,False,False
394,2,True,False
395,5,False,True
396,2,True,False
397,1,False,False
398,6,True,True
399,2,True,False
400,4,True,False
401,3,False,False
402,1,False,False
403,3,False,False
404,6,True,True
405,3,False,False
406,5,False,True
407,4,True,False
408,6,True,True
409,3,False,False
410,4,True,False
411,2,True,False
412,3,False,False
413,2,True,False
414,6,True,True
415,1,False,False
416,6,True,True
417,1,False,False
418,4,True,False
419,5,False,True
420,1,False,False
421,3,False,False
422,2,True,False
423,4,True,False
424,3,False,False
425,3,False,False
426,4,True,False
427,1,False,False
428,6,True,True
429,6,True,True
430,4,True,False
431,4,True,False
432,3,False,False
433,3,False,False
434,3,False,False
435,1,False,False
436,2,True,False
437,1,False,False
438,5,False,True
439,6,True,True
440,2,True,False
441,4,True,False
442,2,True,False
443,2,True,False
444,1,False,False
445,4,True,False
446,2,True,False
447,3,False,False
448,1,False,False
449,2,True,False
450,3,False,False
451,4,True,False
452,2,True,False
453,5,False,True
454,3,False,False
455,1,False,False
456,2,True,False
457,6,True,True
458,5,False,True
459,6,True,True
460,2,True,False
461,5,False,True
462,3,False,False
463,1,False,False
464,6,True,True
465,2,True,False
466,2,True,False
467,3,False,False
468,1,False,False
469,5,False,True
470,1,False,False
471,4,True,False
472,2,True,False
473,2,True,False
474,2,True,False
475,2,True,False
476,6,True,True
477,5,False,True
478,4,True,False
479,5,False,True
480,6,True,True
481,1,False,False
482,4,True,False
483,6,True,True
484,4,True,False
485,2,True,False
486,2,True,False
487,6,True,True
488,1,False,False
489,2,True,False
490,6,True,True
491,4,True,False
492,4,True,False
493,1,False,False
494,6,True,True
495,6,True,True
496,1,False,False
497,2,True,False
498,1,False,False
499,3,False,False
500,4,True,False
501,6,True,True
502,1,False,False
503,6,True,True
504,2,True,False
505,5,False,True
506,6,True,True
507,6,True,True
508,3,False,False
509,6,True,True
510,6,True,True
511,2,True,False
512,3,False,False
513,5,False,True
514,1,False,False
515,1,False,False
516,4,True,False
517,2,True,False
518,3,False,False
519,2,True,False
520,6,True,True
521,1,False,False
522,4,True,False
523,3,False,False
524,4,True,False
525,4,True,False
526,5,False,True
527,1,False,False
528,1,False,False
529,2,True,False
530,2,True,False
531,3,False,False
532,3,False,False
533,2,True,False
534,3,False,False
535,1,False,False
536,4,True,False
537,1,False,False
538,5,False,True
539,3,False,False
540,3,False,False
541,5,False,True
542,1,False,False
543,1,False,False
544,5,False,True
545,5,False,True
546,5,False,True
547,6,True,True
548,6,True,True
