delivery_id,zone,delivery_time_min,delayed
D0001,central,30.5,False
D0002,central,21.6,False
D0003,central,37.3,False
D0004,central,81.4,True
D0005,central,26.2,False
D0006,remote,42.1,False
D0007,central,26.4,False
D0008,central,77.9,True
D0009,suburban,25.8,False
D0010,suburban,44.0,False
D0011,central,22.6,False
D0012,suburban,41.4,False
D0013,central,29.1,False
D0014,central,13.5,False
D0015,suburban,50.3,False
D0016,central,14.3,False
D0017,remote,25.0,False
D0018,central,47.8,False
D0019,suburban,20.0,False
D0020,suburban,20.4,False
D0021,suburban,35.9,False
D0022,central,42.1,False
D0023,remote,33.7,False
D0024,central,37.5,False
D0025,suburban,21.0,False
D0026,suburban,15.7,False
D0027,central,23.9,False
D0028,suburban,38.5,False
D0029,suburban,41.4,False
D0030,suburban,49.6,False
D0031,central,67.0,True
D0032,central,33.8,False
D0033,remote,22.3,False
D0034,central,54.7,False
D0035,suburban,27.7,False
D0036,remote,40.3,False
D0037,remote,45.7,False
D0038,remote,46.6,False
D0039,suburban,28.0,False
D0040,suburban,20.3,False
D0041,remote,36.9,False
D0042,central,13.5,False
D0043,suburban,61.3,True
D0044,central,10.9,False
D0045,central,57.5,False
D0046,suburban,17.1,False
D0047,central,42.8,False
D0048,central,25.9,False
D0049,suburban,29.7,False
D0050,central,20.5,False
D0051,suburban,23.2,False
D0052,remote,20.9,False
D0053,remote,31.9,False
D0054,suburban,46.5,False
D0055,central,56.0,False
D0056,central,60.1,True
D0057,remote,17.8,False
D0058,suburban,44.6,False
D0059,suburban,31.5,False
D0060,central,24.0,False
D0061,central,118.6,True
D0062,central,52.0,False
D0063,suburban,28.5,False
D0064,central,47.8,False
D0065,central,58.5,False
D0066,remote,36.4,False
D0067,central,37.9,False
D0068,central,14.6,False
D0069,central,30.5,False
D0070,suburban,32.8,False
D0071,central,42.4,False
D0072,central,23.1,False
D0073,suburban,35.4,False
D0074,suburban,42.8,False
D0075,suburban,15.7,False
D0076,remote,48.6,False
D0077,suburban,33.6,False
D0078,suburban,31.5,False
D0079,central,112.8,True
D0080,central,24.5,False
D0081,central,10.8,False
D0082,central,17.6,False
D0083,central,19.4,False
D0084,suburban,36.6,False
D0085,central,63.4,True
D0086,suburban,26.2,False
D0087,suburban,25.6,False
D0088,central,40.8,False
D0089,central,32.9,False
D0090,suburban,19.3,False
D0091,central,23.1,False
D0092,suburban,16.9,False
D0093,suburban,38.7,False
D0094,suburban,31.1,False
D0095,suburban,32.1,False
D0096,suburban,14.6,False
D0097,central,42.0,False
D0098,suburban,17.1,False
D0099,central,51.6,False
D0100,suburban,40.2,False
D0101,central,29.9,False
D0102,suburban,19.5,False
D0103,central,32.6,False
D0104,suburban,36.6,False
D0105,suburban,14.8,False
D0106,central,18.7,False
D0107,suburban,19.9,False
D0108,suburban,38.6,False
D0109,remote,36.5,False
D0110,suburban,11.3,False
D0111,central,33.8,False
D0112,central,37.7,False
D0113,suburban,88.1,True
D0114,remote,19.0,False
D0115,remote,22.5,False
D0116,remote,29.0,False
D0117,central,32.8,False
D0118,central,29.5,False
D0119,central,32.1,False
D0120,remote,16.0,False
D0121,central,25.9,False
D0122,central,24.7,False
D0123,central,82.8,True
D0124,suburban,33.5,False
D0125,remote,36.9,False
D0126,suburban,81.9,True
D0127,remote,30.6,False
D0128,suburban,35.4,False
D0129,central,20.0,False
D0130,suburban,41.9,False
D0131,suburban,48.8,False
D0132,suburban,46.3,False
D0133,central,43.1,False
D0134,central,41.5,False
D0135,central,17.5,False
D0136,central,40.8,False
D0137,suburban,46.8,False
D0138,central,24.0,False
D0139,suburban,40.5,False
D0140,remote,27.9,False
D0141,central,36.7,False
D0142,central,17.8,False
D0143,remote,56.9,False
D0144,central,122.6,True
D0145,remote,19.1,False
D0146,remote,74.9,True
D0147,suburban,21.9,False
D0148,suburban,120.2,True
D0149,central,18.8,False
D0150,suburban,20.2,False
D0151,central,40.2,False
D0152,remote,49.7,False
D0153,suburban,65.2,True
D0154,central,28.2,False
D0155,central,22.3,False
D0156,suburban,33.0,False
D0157,suburban,52.2,False
D0158,remote,23.8,False
D0159,remote,28.1,False
D0160,suburban,19.4,False
D0161,remote,44.2,False
D0162,central,62.1,True
D0163,remote,19.4,False
D0164,central,24.2,False
D0165,remote,28.1,False
D0166,remote,43.7,False
D0167,suburban,29.9,False
D0168,central,27.6,False
D0169,central,55.9,False
D0170,suburban,24.4,False
D0171,remote,35.7,False
D0172,suburban,40.1,False
D0173,central,76.0,True
D0174,suburban,69.0,True
D0175,remote,70.4,True
D0176,central,23.1,False
D0177,remote,46.1,False
D0178,central,23.5,False
D0179,suburban,36.2,False
D0180,suburban,49.4,False
D0181,suburban,26.5,False
D0182,suburban,21.7,False
D0183,central,47.8,False
D0184,remote,59.8,False
D0185,suburban,33.1,False
D0186,central,40.6,False
D0187,suburban,151.0,True
D0188,central,48.0,False
D0189,central,72.6,True
D0190,suburban,19.6,False
D0191,central,75.5,True
D0192,remote,63.2,True
D0193,remote,57.2,False
D0194,central,31.8,False
D0195,central,16.9,False
D0196,central,25.5,False
D0197,remote,27.1,False
D0198,remote,41.1,False
D0199,suburban,27.6,False
D0200,central,37.8,False
D0201,central,39.6,False
D0202,suburban,14.2,False
D0203,central,232.5,True
D0204,suburban,33.0,False
D0205,suburban,61.4,True
D0206,central,89.6,True
D0207,central,15.3,False
D0208,suburban,46.9,False
D0209,remote,19.0,False
D0210,suburban,16.9,False
D0211,central,32.0,False
D0212,remote,37.4,False
D0213,remote,48.3,False
D0214,central,18.7,False
D0215,central,22.5,False
D0216,central,18.2,False
D0217,suburban,18.1,False
D0218,central,30.2,False
D0219,remote,27.1,False
D0220,suburban,33.3,False
D0221,central,29.6,False
D0222,central,41.5,False
D0223,central,33.4,False
D0224,suburban,41.5,False
D0225,central,25.5,False
D0226,suburban,33.8,False
D0227,suburban,37.5,False
D0228,suburban,25.8,False
D0229,suburban,40.4,False
D0230,suburban,53.8,False
D0231,central,18.4,False
D0232,central,34.1,False
D0233,suburban,18.8,False
D0234,central,18.2,False
D0235,central,41.4,False
D0236,central,47.4,False
D0237,suburban,38.9,False
D0238,suburban,35.3,False
D0239,remote,128.1,True
D0240,central,23.3,False
D0241,suburban,27.0,False
D0242,suburban,48.4,False
D0243,suburban,32.6,False
D0244,suburban,40.3,False
D0245,suburban,48.4,False
D0246,central,19.0,False
D0247,suburban,32.1,False
D0248,central,34.0,False
D0249,remote,33.3,False
D0250,central,27.1,False
D0251,suburban,37.7,False
D0252,suburban,25.3,False
D0253,central,32.8,False
D0254,suburban,36.6,False
D0255,suburban,38.6,False
D0256,suburban,22.8,False
D0257,central,26.8,False
D0258,remote,35.4,False
D0259,remote,27.5,False
D0260,central,29.7,False
D0261,suburban,54.5,False
D0262,central,20.7,False
D0263,central,10.0,False
D0264,central,58.0,False
D0265,remote,27.1,False
D0266,central,23.1,False
D0267,suburban,26.8,False
D0268,suburban,41.5,False
D0269,suburban,61.2,True
D0270,suburban,33.9,False
D0271,suburban,35.2,False
D0272,remote,64.6,True
D0273,central,34.8,False
D0274,suburban,54.5,False
D0275,central,71.9,True
D0276,suburban,36.3,False
D0277,suburban,79.3,True
D0278,central,26.5,False
D0279,remote,43.5,False
D0280,central,59.6,False
D0281,central,33.9,False
D0282,central,10.2,False
D0283,suburban,30.4,False
D0284,suburban,88.3,True
D0285,suburban,28.4,False
D0286,central,35.9,False
D0287,remote,29.1,False
D0288,central,14.3,False
D0289,suburban,50.5,False
D0290,central,72.3,True
D0291,central,45.4,False
D0292,central,28.7,False
D0293,suburban,22.1,False
D0294,suburban,19.7,False
D0295,suburban,28.5,False
D0296,central,41.0,False
D0297,central,53.6,False
D0298,remote,37.6,False
D0299,suburban,24.9,False
D0300,central,30.3,False
D0301,suburban,33.1,False
D0302,remote,54.1,False
D0303,central,38.3,False
D0304,suburban,13.7,False
D0305,suburban,33.8,False
D0306,central,28.9,False
D0307,suburban,16.9,False
D0308,suburban,103.8,True
D0309,central,32.5,False
D0310,suburban,26.4,False
D0311,suburban,18.4,False
D0312,suburban,25.9,False
D0313,central,30.1,False
D0314,remote,25.5,False
D0315,suburban,35.0,False
D0316,suburban,26.0,False
D0317,central,28.4,False
D0318,remote,53.1,False
D0319,suburban,44.8,False
D0320,central,43.7,False
D0321,suburban,26.6,False
D0322,central,34.7,False
D0323,suburban,29.0,False
D0324,central,36.1,False
D0325,suburban,36.3,False
D0326,central,21.7,False
D0327,central,46.8,False
D0328,central,44.3,False
D0329,central,42.1,False
D0330,central,48.9,False
D0331,central,24.6,False
D0332,central,65.9,True
D0333,suburban,26.4,False
D0334,central,43.8,False
D0335,suburban,38.8,False
D0336,remote,47.6,False
D0337,suburban,18.7,False
D0338,central,28.7,False
D0339,central,29.6,False
D0340,central,33.2,False
D0341,central,43.8,False
D0342,central,35.3,False
D0343,central,51.8,False
D0344,suburban,21.0,False
D0345,suburban,24.2,False
D0346,suburban,26.4,False
D0347,suburban,20.1,False
D0348,central,34.4,False
D0349,central,33.1,False
D0350,suburban,36.6,False
